Gene,Accession,mRNA_Length,GC_percent,AT_percent,Protein_aa,MW_kDa,pI,Instability,Stability
TP53,NM_000546,2512,53.38,46.62,393,43.7,6.33,73.59,Unstable
BRCA1,NM_007294,7088,41.77,58.23,1863,207.7,5.29,54.67,Unstable
KRAS,NM_004985,5306,36.28,63.72,188,21.4,8.24,42.26,Unstable
EGFR,NM_005228,9905,47.78,52.22,1210,134.3,6.26,44.59,Unstable
